epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,99,,,0.1875,1.164556860923767,,
0,114,,,,,0.35459184646606445,1.0961922407150269
1,199,,,0.4375,1.0706809759140015,,
1,229,,,,,0.35459184646606445,1.095263957977295
2,299,,,0.3125,1.1082712411880493,,
2,344,,,,,0.3622449040412903,1.0930769443511963
3,399,,,0.5625,1.0712981224060059,,
3,459,,,,,0.375,1.0919504165649414
4,499,,,0.375,1.1044398546218872,,
4,574,,,,,0.4030612111091614,1.0878574848175049
5,599,,,0.5625,1.0785818099975586,,
5,689,,,,,0.4183673560619354,1.0856209993362427
6,699,,,0.3125,1.104651927947998,,
6,799,,,0.5625,1.0977760553359985,,
6,804,,,,,0.4234693944454193,1.079677700996399
7,899,,,0.5,1.0551360845565796,,
7,919,,,,,0.43622449040412903,1.0602535009384155
8,999,,,0.5,1.0420629978179932,,
8,1034,,,,,0.46173468232154846,1.0644590854644775
9,1099,,,0.4375,1.065656065940857,,
9,1149,,,,,0.4642857015132904,1.0575939416885376
10,1199,,,0.5625,0.9927741289138794,,
10,1264,,,,,0.43877550959587097,1.0490871667861938
11,1299,,,0.625,1.0116149187088013,,
11,1379,,,,,0.4770408272743225,1.0243490934371948
12,1399,,,0.25,1.1007401943206787,,
12,1494,,,,,0.4897959232330322,1.0191351175308228
13,1499,,,0.5,1.1145917177200317,,
13,1599,,,0.6875,0.8829603791236877,,
13,1609,,,,,0.4872449040412903,1.0012856721878052
14,1699,,,0.5625,0.9397078156471252,,
14,1724,,,,,0.5229591727256775,0.9731757640838623
15,1799,,,0.5,0.8798512816429138,,
15,1839,,,,,0.5,0.9749509692192078
16,1899,,,0.6875,0.7472701072692871,,
16,1954,,,,,0.5382652878761292,0.9442591667175293
17,1999,,,0.5,0.8412599563598633,,
17,2069,,,,,0.545918345451355,0.9181106686592102
18,2099,,,0.4375,0.8914031386375427,,
18,2184,,,,,0.5076530575752258,0.9508703351020813
19,2199,,,0.4375,0.9704056978225708,,
19,2299,,,0.5,0.7855081558227539,,
19,2299,,,,,0.5025510191917419,0.9890211224555969
20,2399,,,0.8125,0.5991052389144897,,
20,2414,,,,,0.5484693646430969,0.9184715747833252
21,2499,,,0.4375,1.0099045038223267,,
21,2529,,,,,0.545918345451355,0.9075901508331299
22,2599,,,0.5625,0.9180996417999268,,
22,2644,,,,,0.5535714030265808,0.9045984148979187
23,2699,,,0.6875,0.7372034192085266,,
23,2759,,,,,0.5535714030265808,0.9171707034111023
24,2799,,,0.5625,0.7380458116531372,,
24,2874,,,,,0.543367326259613,0.9189611077308655
25,2899,,,0.625,0.8024585247039795,,
25,2989,,,,,0.5688775777816772,0.915052592754364
26,2999,,,0.6875,0.6167749762535095,,
26,3099,,,0.8125,0.7067252397537231,,
26,3104,,,,,0.5739796161651611,0.903044581413269
27,3199,,,0.75,0.6259108781814575,,
27,3219,,,,,0.5943877696990967,0.8679853081703186
28,3299,,,0.75,0.6491228342056274,,
28,3334,,,,,0.5943877696990967,0.85772305727005
29,3399,,,0.5625,0.7544333338737488,,
29,3449,,,,,0.5867347121238708,0.8775906562805176
30,3499,,,0.625,0.8887684941291809,,
30,3564,,,,,0.5484693646430969,0.9323493838310242
31,3599,,,0.625,0.6561281681060791,,
31,3679,,,,,0.5561224222183228,0.8916457295417786
32,3699,,,0.5625,0.7847471833229065,,
32,3794,,,,,0.5765306353569031,0.858814537525177
33,3799,,,0.75,0.6764436364173889,,
33,3899,,,0.5,0.7875998020172119,,
33,3909,,,,,0.5535714030265808,0.8774456977844238
34,3999,,,0.5,0.8558886051177979,,
34,4024,,,,,0.5867347121238708,0.8823028206825256
35,4099,,,0.5,0.7184722423553467,,
35,4139,,,,,0.5739796161651611,0.9069854617118835
36,4199,,,0.875,0.50019371509552,,
36,4254,,,,,0.5765306353569031,0.8923527598381042
37,4299,,,0.625,0.5845555663108826,,
37,4369,,,,,0.5586734414100647,0.9271417856216431
38,4399,,,0.5,0.7446394562721252,,
38,4484,,,,,0.5739796161651611,0.8772394061088562
39,4499,,,0.6875,0.49112221598625183,,
39,4599,,,0.5,0.7516067624092102,,
39,4599,,,,,0.581632673740387,0.8757921457290649
40,4699,,,0.5,0.7792766690254211,,
40,4714,,,,,0.6020408272743225,0.8380508422851562
41,4799,,,0.6875,0.812899112701416,,
41,4829,,,,,0.6198979616165161,0.8088411092758179
42,4899,,,0.75,0.5110030174255371,,
42,4944,,,,,0.625,0.7873517870903015
43,4999,,,0.625,0.5786043405532837,,
43,5059,,,,,0.5994898080825806,0.8135542869567871
44,5099,,,0.5,0.7555205225944519,,
44,5174,,,,,0.625,0.7975298166275024
45,5199,,,0.875,0.3785429000854492,,
45,5289,,,,,0.6147959232330322,0.8000754714012146
46,5299,,,0.875,0.4153636693954468,,
46,5399,,,0.6875,0.5042780041694641,,
46,5404,,,,,0.6071428656578064,0.8314890265464783
47,5499,,,0.5625,0.8397089242935181,,
47,5519,,,,,0.6275510191917419,0.8457443118095398
48,5599,,,0.75,0.4457833468914032,,
48,5634,,,,,0.6301020383834839,0.7832456827163696
49,5699,,,0.75,0.5759308338165283,,
49,5749,,,,,0.6224489808082581,0.8521695733070374
50,5799,,,0.75,0.6278373599052429,,
50,5864,,,,,0.6096938848495483,0.7871536612510681
51,5899,,,0.625,0.6274088621139526,,
51,5979,,,,,0.6147959232330322,0.768131673336029
52,5999,,,0.5625,0.6879258155822754,,
52,6094,,,,,0.6403061151504517,0.8015859723091125
53,6099,,,0.8125,0.6030265688896179,,
53,6199,,,0.5625,0.6707315444946289,,
53,6209,,,,,0.6122449040412903,0.8421608209609985
54,6299,,,0.625,0.8090187907218933,,
54,6324,,,,,0.6096938848495483,0.8042497634887695
55,6399,,,0.75,0.5364986062049866,,
55,6439,,,,,0.6454081535339355,0.7804855108261108
56,6499,,,0.5625,0.6380161046981812,,
56,6554,,,,,0.6020408272743225,0.8214876651763916
57,6599,,,0.8125,0.4660480320453644,,
57,6669,,,,,0.6428571343421936,0.7978451251983643
58,6699,,,0.5,0.6504164338111877,,
58,6784,,,,,0.6301020383834839,0.8086512088775635
59,6799,,,0.625,0.620203971862793,,
59,6899,,,0.6666666865348816,0.5752713084220886,,
59,6899,,,,,0.6428571343421936,0.7824763655662537
60,6999,,,0.5,0.9415012001991272,,
60,7014,,,,,0.6479591727256775,0.7839016914367676
61,7099,,,0.875,0.60397869348526,,
61,7129,,,,,0.6377550959587097,0.7910072803497314
62,7199,,,0.5,0.6523666977882385,,
62,7244,,,,,0.6224489808082581,0.78172767162323
63,7299,,,0.75,0.4165109395980835,,
63,7359,,,,,0.6556122303009033,0.8006871938705444
64,7399,,,0.5625,0.7140915393829346,,
64,7474,,,,,0.6734693646430969,0.7689850330352783
65,7499,,,0.625,0.6468943357467651,,
65,7589,,,,,0.6479591727256775,0.7948621511459351
66,7599,,,0.8125,0.43640047311782837,,
66,7699,,,0.5625,0.5416832566261292,,
66,7704,,,,,0.6632652878761292,0.7735981345176697
67,7705,,,,,0.6428571343421936,0.7651247978210449
67,7705,0.643765926361084,0.7868303656578064,,,,
